Piezo 1,Piezo 2,MQ2,MQ135,ACCELX,ACCELY,ACCELZ,PITCH,ROLL,YAW,WATER,HUMIDITY,TEMPERATURE,STATUS
0,0,88,88,5.6,-7.59,3.06,0,0,0,0,36,28,IDLE
0,0,88,88,5.64,-7.54,2.98,0,0,0,0,40,32,IDLE
0,0,88,87,5.69,-7.55,3.01,0,0,0,0,40,31,IDLE
0,0,87,86,5.65,-7.57,3.07,0,0,0,0,40,31,IDLE
0,0,88,89,5.68,-7.51,3.08,0,0,0,0,39,31,IDLE
0,0,87,87,5.65,-7.54,3.05,0,0,0,0,40,31,IDLE
0,0,87,87,5.68,-7.59,3.11,0,0,0,0,40,31,IDLE
0,0,86,87,5.62,-7.57,3.11,0,0,0,0,40,31,IDLE
0,0,87,87,5.6,-7.57,3,0,0,0,0,40,31,IDLE
0,0,86,86,5.63,-7.57,3.01,0,0,0,0,40,32,IDLE
0,0,85,86,5.66,-7.56,2.97,0,0,0,0,40,32,IDLE
0,0,86,85,5.63,-7.58,3.06,0,0,0,0,39,32,IDLE
0,0,85,87,5.6,-7.63,3.03,0,0,0,0,40,32,IDLE
0,0,86,86,5.56,-7.59,3.01,0,0,0,0,39,31,IDLE
0,0,86,87,5.69,-7.56,3.08,0,0,0,0,39,31,IDLE
0,0,86,86,5.57,-7.56,3.1,0,0,0,0,40,32,IDLE
0,0,85,86,5.69,-7.58,3.05,0,0,0,0,40,31,IDLE
0,0,85,85,5.58,-7.57,3.04,0,0,0,0,40,31,IDLE
0,0,85,85,5.64,-7.59,3.13,0,0,0,0,38,28,IDLE
0,0,83,85,5.65,-7.56,3.12,0,0,0,0,40,31,IDLE
0,0,85,85,5.67,-7.64,3.02,0,0,0,0,40,31,IDLE
0,0,84,86,5.67,-7.63,3.1,0,0,0,0,39,31,IDLE
0,0,85,84,5.63,-7.57,3.01,0,0,0,0,39,31,IDLE
0,0,84,85,5.63,-7.57,2.98,0,0,0,1,32,26,IDLE
0,0,84,86,5.63,-7.61,3.01,0,0,0,0,40,31,IDLE
0,0,84,83,5.57,-7.59,3.07,0,0,0,0,39,31,IDLE
0,0,84,84,5.61,-7.6,3.17,0,0,0,0,38,33,IDLE
0,0,84,84,5.63,-7.62,3.12,0,0,0,0,40,31,IDLE
